Prefix,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10,Word11,Word12,Word13,Word14,Word15
conocer,conoc,conocedor,conoceis,conocem,conocer,conoceri,conocert,conoci,,,,,,,
conseguir,consegu,consegui,conseguir,conseguiriam,conseguis,,,,,,,,,,
consultar,consult,consultar,consultari,consultel,consultor,consultori,,,,,,,,,
consumo,consum,consumi,consumidor,,,,,,,,,,,,
contactar,contact,contactar,,,,,,,,,,,,,
contar,contab,contadisim,contador,contam,contandot,contar,contari,contarmel,contartel,,,,,,
contener,contenedor,contener,conteni,,,,,,,,,,,,
contentar,content,contentar,contentari,contentisim,,,,,,,,,,,
contestar,contest,contestam,contestar,contestari,,,,,,,,,,,
corregir,correccion,correct,corrector,corregi,corregim,correg,corrig,corrigi,,,,,,,
correr,corre,corredor,corri,correr,correri,corro,,,,,,,,,
corresponder,correspond,correspondent,correspondi,correspondient,corresponsal,,,,,,,,,,
cortar,cortab,cortafri,cortal,cortant,cortar,cortat,cortaz,cortes,,,,,,,
crono,cronogram,cronolog,cronologi,cronometr,cronopi,,,,,,,,,,
cuadr,cuadr,cuadricul,cuadril,cuadruped,,,,,,,,,,,
cuento,cuent,cuentam,cuentem,cuentist,cuentit,,,,,,,,,,
cuidar,cuidad,cuidadin,cuidadit,cuidal,cuidar,cuidat,,,,,,,,,
cursi,cursi,cursileri,cursis,,,,,,,,,,,,
decidir,decid,decidi,decidia,decidir,decidiri,decidis,,,,,,,,,
defender,defend,defender,defendi,defens,defensor,,,,,,,,,,
desaparecer,desaparec,desapareci,desaparezc,desaparicion,,,,,,,,,,,
desarrollar,desarroll,desarrollab,desarrollabam,desarrollar,,,,,,,,,,,
descender,descend,descendeci,descendent,descendi,descendient,,,,,,,,,,
describir,descr,describ,describi,describir,descripcion,descript,,,,,,,,,
descubrir,descubr,descubri,descubridor,descubriend,descubries,descubrimient,descubrir,descubriri,descubris,,,,,,
desear,deseab,deseabl,deseandon,desear,deseari,,,,,,,,,,
desnudar,desnuc,desnud,desnudar,desnudez,desnutr,,,,,,,,,,
desvanecer,desvanec,desvanecer,desvaneci,,,,,,,,,,,,
detener,deten,detencion,detendr,detendri,detener,detenern,detenert,deteng,deteni,detenid,,,,,
devolver,devolu,devolucion,devolv,devolven,devolver,devolveri,devolvermel,devolvert,devolvi,devuelt,devuelv,devuelvan,devuelvanl,devuelven,
dibujar,dibuj,dibujandot,dibujant,dibujar,dibujit,,,,,,,,,,
dirigir,dirig,dirigent,dirigi,dirigiendon,dirigir,dirigiri,,,,,,,,,
disco,discograf,discografi,,discotec,discotequ,,,,,,,,,,
disculpar,disculp,disculpam,disculpar,,,,,,,,,,,,
discutir,discusion,discut,discuti,,,,,,,,,,,,
disfrazar,disfraz,disfrazar,disfrazatt,,,,,,,,,,,,
disfrutar,disfrut,disfrutar,disfrutari,disfrutart,,,,,,,,,,,
distraer,distraccion,distraer,distrai,distraig,,,,,,,,,,,
distribuir,distribu,distribucion,distribuidor,,,,,,,,,,,,
divertir,diversion,divert,diverti,divertiment,divertir,divertirt,,,,,,,,,
dormir,dormi,dormiam,dormir,dormiri,dormis,dormist,dormit,dormitori,,,,,,,
electrico,electr,electric,electrochoqu,electrocut,electrod,electrodomest,electron,electroshock,,,,,,,
emprender,emprend,emprender,emprendi,empres,empresari,empresarial,,,,,,,,,
encerrar,encerr,encerrab,encerrais,encerrar,encerrari,,,,,,,,,,
encontrar,encon,encontr,encontrab,encontrar,encontrari,,,,,,,,,,
enfermar,enferm,enfermar,enfermed,enfermer,enfermeri,enfermet,enfermisim,enfermit,enfermiz,,,,,,
enganar,enganar,enganart,enganem,enganos,,,,,,,,,,,
enloquecer,enloquec,enloquecern,enloqueci,enloquecim,enloquez,enloquezc,,,,,,,,,
entender,entend,entender,entenderi,entenderiais,entendi,entendist,,,,,,,,,
entrar,entrab,entrad,entradit,entran,entram,entrant,entrar,entrari,entrasem,entrat,,,,,
envolver,envoltori,envolv,envolver,envolvert,envolvi,,,,,,,,,,
esconder,escond,esconder,escondern,escondi,escondiam,escondiendol,escondiendot,escondit,,,,,,,
escribir,escrib,escriban,escribel,escribi,escribier,escribir,escribiri,escribis,escrir,escrit,escritor,escritorcit,escritori,escritur,
esperar,esperabl,esperam,esperanz,esperar,esperari,esperat,,,,,,,,,
estudiar,estudi,estudiab,estudiabam,estudiant,estudiar,estudiasem,,,,,,,,,
existir,exist,existencial,existent,existi,existier,existir,existiri,,,,,,,,
explicar,explic,explical,explicandol,explicar,explicart,explicit,expliquel,expliques,,,,,,,
extender,extend,extender,extendi,extens,extension,,,,,,,,,,
fantasear,fantas,fantase,fantaseabam,fantasi,fantasy,,,,,,,,,,
formar,formab,formacion,formal,formar,format,formate,,,,,,,,,
francia,frances,francesit,francofon,franci,,,,,,,,,,,
general,general,generaliz,generis,,,,,,,,,,,,
golpear,golpe,golpeador,golpear,golpecit,golped,,,,,,,,,,
grande,grandez,grandios,grandisim,grandot,grandulon,,,,,,,,,,
gustar,gustar,gustari,gustat,,,,,,,,,,,,
hablar,hablab,hablal,hablar,hablari,hablart,,,,,,,,,,
histeria,hister,histeri,histeriqu,histerique,histeriquit,,,,,,,,,,
hormiga,hormigon,hormigue,hormiguer,hormiguit,,,,,,,,,,,
identificar,ident,identific,identificar,identificas,identificatt,identikit,,,,,,,,,
idiota,idiot,idiota,idiotez,idiotiz,idiotz,,,,,,,,,,
imaginar,imagin,imaginar,imaginari,imaginartel,imaginat,imaginatel,imaginens,imagines,,,,,,,
incorporar,incordi,incorp,incorpor,incorporandol,incorporar,incorpore,incorreccion,incorrect,,,,,,,
ingeniar,ingeni,ingeniar,ingenier,ingenieri,ingenios,ingenu,,,,,,,,,
institucion,instig,instint,institu,institucion,institucional,institucionaliz,institut,,,,,,,,
instru,instru,instruccion,instruct,instrument,instrumental,,,,,,,,,,
inventar,invenc,invencion,invent,inventabam,inventar,inventor,,,,,,,,,
involucrar,involucr,involucrab,involucrar,involucrarn,,,,,,,,,,,
liber,liber,liberal,liberar,libert,libertari,,,,,,,,,,
libro,librer,libreri,libret,libretit,,,,,,,,,,,
limpiar,limpi,limpiadl,limpiar,limpiart,limpiez,limpit,,,,,,,,,
llamar,llamab,llamador,llamal,llamam,llamar,llamari,llamart,llamat,,,,,,,
llevar,llevab,lleval,llevam,llevar,llevari,llevarmel,llevart,llevast,llevat,,,,,,
mandar,mandal,mandamient,mandar,mandart,mandat,mandatari,,,,,,,,,
mantener,manten,mantener,mantengal,manteni,manteniam,,,,,,,,,,
maquillar,maquill,maquillaj,maquillar,,,,,,,,,,,,
maquina,maquinari,maquinill,maquinit,,,,,,,,,,,,
material,materi,material,materializ,,,,,,,,,,,,
memoria,memor,memori,memorial,memorios,memoriz,memorizal,,,,,,,,,
merca,mercachifl,mercaderi,mercadill,mercadon,mercadotecni,,,,,,,,,,
metro,metrogr,metronom,metropolitan,metrosexual,metrovi,,,,,,,,,,
micro,microchip,microclim,microemprend,microfon,microond,micropen,microscopi,microtecnologi,,,,,,,
moder,moder,modern,modernisim,modernit,moderniz,modernizar,,,,,,,,,
mostrar,mostr,mostrabam,mostrador,mostrar,mostras,,,,,,,,,,
narrar,narracion,narrador,narrar,narrari,narrat,,,,,,,,,,
necesitar,neces,necesari,necesit,necesitab,necesitar,necesitaram,necesitari,,,,,,,,
neuro,neuron,neuronal,neuropati,neuroscienc,neurosis,neurot,,,,,,,,,
obligar,oblig,obligandon,obligar,obligari,obligatori,,,,,,,,,,
ocurrir,ocurr,ocurrenci,ocurrent,ocurri,ocurrir,ocurriri,,,,,,,,,
olvidar,olvid,olvidadiz,olvidar,olvidari,olvidarmel,olvidat,olvidemon,,,,,,,,
papel,papel,papele,papeler,papeleri,papelet,papelit,papelon,,,,,,,,
parecer,parec,parecer,pareceri,parecert,pareci,pareciam,parecier,,,,,,,,
pastel,pastel,pasteler,pastelit,,,,,,,,,,,,
pensar,pensad,pensador,pensamient,pensandol,pensant,pensar,pensaram,pensari,pensat,,,,,,
perdonar,perdon,perdonam,perdonar,perdonatt,perdonem,,,,,,,,,,
permanecer,permanec,permanecer,permaneci,permanenci,permanent,,,,,,,,,,
permitir,permiiiis,permis,permit,permitam,permitanm,permiti,,,,,,,,,
perseguir,persecucion,persecut,persegu,persegui,perseguir,perseguirt,,,,,,,,,
plasti,plastic,plasticol,plastific,plastilin,plastiquit,plastiv,,,,,,,,,
porta,portabl,portacion,portafoli,portal,portarretrat,portat,portatil,portaz,,,,,,,
poster,poster,posterg,posterior,posteriori,posters,,,,,,,,,,
preferir,prefer,preferent,preferi,preferiri,preferis,,,,,,,,,,
preguntar,pregun,pregunt,preguntal,preguntandon,preguntar,preguntari,preguntart,preguntast,preguntel,preguntem,preguntemon,preguntit,pregunto,pregunton,
preocupar,preocup,preocupadis,preocupar,preocupart,preocupat,preocupeis,preocups,,,,,,,,
preparar,prepar,preparabam,preparam,preparar,preparat,preparens,prepars,,,,,,,,
prestar,prestabam,prestadm,prestal,prestam,prestar,,,,,,,,,,
pretender,pretenci,pretencios,pretend,pretender,pretendi,pretendient,pretensi,,,,,,,,
problema,problem,problemat,problemit,problemon,problemons,,,,,,,,,,
proceder,proced,procedenci,procedent,,,,,,,,,,,,
producir,produc,produccion,produci,product,productor,,,,,,,,,,
profe,profes,profesion,profesional,profesor,profet,,,,,,,,,,
prohibir,prohib,prohibam,prohibi,prohibir,prohibit,,,,,,,,,,
proteger,proteccion,protector,proteg,proteger,protegi,,,,,,,,,,
psico,psicoanalisis,psicoanalit,psicoanaliz,psicodel,psicolog,psicologi,psicopat,psicot,psicotrop,,,,,,
quedar,quedab,quedar,quedari,quedarmel,quedas,quedat,,,,,,,,,
rebelar,rebel,rebelar,rebelat,rebeld,rebeldi,rebelion,,,,,,,,,
referencia,refer,referencial,referent,referir,,,,,,,,,,,
regalar,regal,regalar,regalari,regalit,regalitt,,,,,,,,,,
repartir,repart,reparti,repartidor,repartij,repartir,,,,,,,,,,
repetir,repet,repeti,repeticion,repetid,repetidor,repetis,repetit,,,,,,,,
reproducir,reproduc,reproduccion,reproducir,reproductor,reproduj,reproduzc,,,,,,,,,
respetar,respect,respet,respetabam,respetar,respetu,,,,,,,,,,
responder,respond,respondel,responder,responderi,respondi,,,,,,,,,,
retro,retroact,retroced,retroces,retrogr,retrospect,retrovisor,,,,,,,,,
rompe,rompebol,rompecabez,rompedor,rompehues,romper,rompert,,,,,,,,,
sacar,sacar,sacaram,sacari,sacarmel,sacartel,,,,,,,,,,
salvar,salvacion,salvador,salvar,salvari,salvart,salvat,,,,,,,,,
sangrar,sangr,sangrabam,sangrant,sangrient,,,,,,,,,,,
satisfacer,satisfac,satisfaccion,satisfacem,satisfactori,satisfech,,,,,,,,,,
seguir,segui,seguidill,seguidor,seguim,seguimient,seguir,seguiri,seguis,,,,,,,
sentar,sentabam,sentadit,sentar,sentaram,sentari,sentat,,,,,,,,,
sentir,senti,sentimental,sentimient,sentir,sentiri,sentis,sentitt,,,,,,,,
servir,servi,servian,servicaix,servici,servicial,servidor,servil,servir,serviri,servirt,,,,,
simpat,simpat,simpati,simpaticon,simpatiquisim,simpatiz,,,,,,,,,,
simple,simpl,simplement,simplez,simplif,simplific,simplificarl,simplis,simplisim,simplism,,,,,,
social,sociabil,sociabiliz,sociabl,social,socializ,,,,,,,,,,
sorprender,sorprend,sorprendent,sorprender,sorprendi,sorprendidisim,sorpres,sorpress,,,,,,,,
suscribir,suscribi,suscribir,suscripcion,suscript,suscriptor,,,,,,,,,,
telef,telef,telefilm,telefon,telefonaz,telefone,telefoni,telefonit,telefonocomedi,,,,,,,
teletubi,teletubbi,teletubbis,teletubi,,,,,,,,,,,,
television,televident,televis,televisi,television,televisor,,,,,,,,,,
traducir,traduc,traduccion,traduci,traducir,traductor,,,,,,,,,,
tranquilizar,tranqui,tranquil,tranquilic,tranquilit,tranquiliz,tranquilizant,tranquilizar,,,,,,,,
trascendental,trascend,trascendent,trascendental,,,,,,,,,,,,
tratar,tratabam,tratal,tratamient,tratar,tratari,,,,,,,,,,
tristeza,trist,tristement,tristeza,tristisim,triston,,,,,,,,,,
triunfador,triunf,triunfab,triunfador,triunfal,triunfari,,,,,,,,,,
veinte,veint,veinten,veinticinc,veinticuatr,veintinuev,veintioch,veintip,veintiseis,veintisiet,veintitr,veintiun,venticinc,venticuatr,ventioch,ventiun
ventana,ventan,ventanal,ventanill,ventanit,,,,,,,,,,,
vestir,vesti,vestidit,vestidur,vestiment,vestir,vestirt,vestis,,,,,,,,
video,videoblog,videocam,videocaseter,videoclip,videoclub,videoconferent,videojueg,videotap,,,,,,,
zapato,zapat,zapataz,zapater,zapatill,zapatillaz,zapaton,,,,,,,,,
zumbar,zumbadisimos,zumbar,zumbido,,,,,,,,,,,,
zurrar,zurraba,zurrar,zurrarme,zurrarte,,,,,,,,,,,
zurdo,zurdazo,zurditos,zurdo,zurdito,zurda,,,,,,,,,,
